store_name,c1,c2,location,new_address,X,Y
게임박스,오락,게임룸,용산구,서울특별시 용산구 청파로 100,37.53288691,126.9623277
게임팜,오락,게임룸,용산구,서울특별시 용산구 청파로 100,37.53288691,126.9623277
무브인터렉티브,오락,게임룸,용산구,서울특별시 용산구 청파로 112,37.53313308,126.963682
첨단게임장,오락,게임룸,용산구,서울특별시 용산구 한강대로 383-1,37.55262498,126.9721945
사이버리아인터넷멀티PC방,오락,게임룸,서초구,서울특별시 서초구 방배중앙로 177,37.49477742,126.9857102
LEDPC방,오락,게임룸,서초구,서울특별시 서초구 방배중앙로 176,37.49483604,126.9862409
국일관게임랜드,오락,게임룸,종로구,서울특별시 종로구 수표로 96,37.56970026,126.9900041
게임랜드우리,오락,게임룸,종로구,서울특별시 종로구 대명길 24,37.58341119,127.0002466
인터넷PC편의점동국대점,오락,게임룸,중구,서울특별시 중구 동호로24길 3,37.55931352,127.00513
을지게임랜드,오락,게임룸,중구,서울특별시 중구 을지로 250,37.56608542,127.0057305
스피드짱PC방,오락,게임룸,서초구,서울특별시 서초구 효령로 223,37.48373461,127.008485
우리게임랜드,오락,게임룸,강북구,서울특별시 강북구 인수봉로73길 7-6,37.64208943,127.0101912
창신24시,오락,게임룸,종로구,서울특별시 종로구 창신길 9,37.57212526,127.0103595
킹인터넷,오락,게임룸,중구,서울특별시 중구 다산로 112,37.55378004,127.0103645
SKYPC방,오락,게임룸,중구,서울특별시 중구 다산로 156,37.55757291,127.0124535
하늘,오락,게임룸,강북구,서울특별시 강북구 삼양로123길 10-7,37.64510101,127.0147519
볼트인터넷PCZONE,오락,게임룸,서초구,서울특별시 서초구 효령로 289,37.48512056,127.0158277
메가풀스,오락,게임룸,성북구,서울특별시 성북구 동소문로20길 31,37.59114733,127.0169583
로그인,오락,게임룸,서초구,서울특별시 서초구 효령로 304,37.48472239,127.0177891
게임파티,오락,게임룸,서초구,서울특별시 서초구 효령로 304,37.48472239,127.0177891
게임피아,오락,게임룸,서초구,서울특별시 서초구 효령로 304,37.48472239,127.0177891
베가소프트,오락,게임룸,서초구,서울특별시 서초구 효령로 304,37.48472239,127.0177891
밤새라말이야PC방,오락,게임룸,성동구,서울특별시 성동구 장터길 22-2,37.54819779,127.018428
세븐게임랜드,오락,게임룸,중구,서울특별시 중구 퇴계로 429,37.56595652,127.0194062
세븐게임랜드,오락,게임룸,중구,서울특별시 중구 퇴계로 431,37.5657952,127.0195102
사이버리아PC방,오락,게임룸,성동구,서울특별시 성동구 장터길 33,37.54846049,127.0196807
황금성게임랜드,오락,게임룸,서초구,서울특별시 서초구 강남대로 523,37.50871665,127.0220331
롤이스케이프,오락,게임룸,서초구,서울특별시 서초구 사평대로56길 14,37.50271373,127.0228918
SIGNON,오락,게임룸,서초구,서울특별시 서초구 바우뫼로7길 8,37.47084576,127.0253643
DUARINTERNETPC방,오락,게임룸,성동구,서울특별시 성동구 금호로 86,37.55115986,127.0257567
사이버리아PC방,오락,게임룸,강남구,서울특별시 강남구 논현로 851,37.52488573,127.0279991
사이버21PC,오락,게임룸,강남구,서울특별시 강남구 논현로 867,37.52617567,127.0281747
PC투플러스PC방,오락,게임룸,강남구,서울특별시 강남구 강남대로94길 23,37.49973807,127.0291847
와와PC방,오락,게임룸,성북구,서울특별시 성북구 인촌로24길 32,37.5847973,127.0292134
아우토반PC게임방,오락,게임룸,동대문구,서울특별시 동대문구 천호대로 72,37.57367843,127.0314068
짱2야PC방,오락,게임룸,성동구,서울특별시 성동구 왕십리로 333,37.56271312,127.0325561
황금포커성,오락,게임룸,성동구,서울특별시 성동구 왕십리로 329,37.56250961,127.0330115
화신게임랜드,오락,게임룸,도봉구,서울특별시 도봉구 도봉로 454,37.64624883,127.0336947
스타피씨방,오락,게임룸,성북구,서울특별시 성북구 종암로19길 17,37.59815184,127.0337395
맥스머스피씨방,오락,게임룸,성북구,서울특별시 성북구 종암로19길 16,37.59844079,127.033815
보드카페24,오락,게임룸,강남구,서울특별시 강남구 압구정로42길 32,37.52683303,127.0347168
PC방,오락,게임룸,강남구,서울특별시 강남구 봉은사로29길 8,37.50833461,127.0347401
게임이너스,오락,게임룸,강남구,서울특별시 강남구 남부순환로 2609,37.48495494,127.0350749
골목대장보드카페,오락,게임룸,강남구,서울특별시 강남구 선릉로161길 19,37.52730753,127.038761
PC정보망,오락,게임룸,성동구,서울특별시 성동구 마조로1길 46,37.56133615,127.0393766
허브PC방,오락,게임룸,성동구,서울특별시 성동구 마조로5길 7,37.55992047,127.0403568
인터칸PC방,오락,게임룸,성동구,서울특별시 성동구 마조로 7,37.55857851,127.0404306
OKPC방,오락,게임룸,강남구,서울특별시 강남구 논현로72길 17,37.49589583,127.0408601
멀티베틀넷PC방,오락,게임룸,성동구,서울특별시 성동구 마조로 33,37.56063811,127.041072
인터넷존PC방,오락,게임룸,성동구,서울특별시 성동구 마조로 16-5,37.55912745,127.0414536
pc방,오락,게임룸,강남구,서울특별시 강남구 선릉로 657,37.51529324,127.0416865
뉴스타게임장,오락,게임룸,동대문구,서울특별시 동대문구 왕산로35길 13,37.58030633,127.0430955
제일게임랜드,오락,게임룸,동대문구,서울특별시 동대문구 왕산로 185,37.58008659,127.0437776
황금성오락실,오락,게임룸,동대문구,서울특별시 동대문구 홍릉로 16,37.58175424,127.0449791
ANTZONE,오락,게임룸,서초구,서울특별시 서초구 동산로 66,37.4718877,127.0459378
사이버리아PC방,오락,게임룸,도봉구,서울특별시 도봉구 노해로63길 79,37.65308194,127.0462762
헐크PC방,오락,게임룸,서초구,서울특별시 서초구 논현로 41,37.47424462,127.0476941
사이버리아PC방,오락,게임룸,강남구,서울특별시 강남구 도산대로 514,37.52399525,127.0492229
수PC방,오락,게임룸,동대문구,서울특별시 동대문구 경희대로1가길 42,37.5929575,127.0520944
세로PC방,오락,게임룸,동대문구,서울특별시 동대문구 경희대로 2,37.59180774,127.0525392
NEOPC방,오락,게임룸,강남구,서울특별시 강남구 역삼로 421,37.50145475,127.0530714
성수종합게임렌드,오락,게임룸,성동구,서울특별시 성동구 아차산로 96,37.54466246,127.0544716
1004COM,오락,게임룸,성동구,서울특별시 성동구 아차산로 93,37.5452407,127.054668
버추엑스,오락,게임룸,강남구,서울특별시 강남구 삼성로81길 6,37.50476647,127.0570561
스피드게임장,오락,게임룸,동대문구,서울특별시 동대문구 고미술로 99,37.56410804,127.0579725
클릭PC게임방,오락,게임룸,성동구,서울특별시 성동구 광나루로 323,37.54841863,127.0656392
리조트PC방,오락,게임룸,성동구,서울특별시 성동구 광나루로 325,37.54842961,127.065888
나인다트,오락,게임룸,광진구,서울특별시 광진구 동일로22길 31,37.54222252,127.0660334
폴스방,오락,게임룸,광진구,서울특별시 광진구 아차산로 221,37.54103222,127.0681982
울랄라PC방,오락,게임룸,광진구,서울특별시 광진구 동일로 218,37.55110569,127.0693064
스마일멀티,오락,게임룸,광진구,서울특별시 광진구 아차산로 235,37.54060109,127.0695162
사이버리아PC방,오락,게임룸,동대문구,서울특별시 동대문구 사가정로 221,37.57891493,127.0696736
길드헉PC방,오락,게임룸,광진구,서울특별시 광진구 아차산로33길 33,37.54176128,127.0703844
라임보드게임,오락,게임룸,광진구,서울특별시 광진구 능동로 111,37.54100794,127.0708351
U2인터넷PC방,오락,게임룸,광진구,서울특별시 광진구 군자로 108,37.55265085,127.0721505
엔엠지PC방,오락,게임룸,광진구,서울특별시 광진구 광나루로 396,37.5472106,127.0735647
메가인터넷PC방,오락,게임룸,광진구,서울특별시 광진구 천호대로 512,37.5584242,127.0752934
게임랜드,오락,게임룸,중랑구,서울특별시 중랑구 중랑역로 18,37.59574552,127.0764398
골룸인터넷,오락,게임룸,중랑구,서울특별시 중랑구 중랑역로 18,37.59574552,127.0764398
인터넷마을PC방,오락,게임룸,중랑구,서울특별시 중랑구 겸재로9길 12,37.58692208,127.0784623
PC매니아,오락,게임룸,중랑구,서울특별시 중랑구 동일로95길 9,37.584746,127.0790326
BLIZZARDPC방,오락,게임룸,중랑구,서울특별시 중랑구 동일로 607,37.58469601,127.0795541
하이브PC방,오락,게임룸,광진구,서울특별시 광진구 능동로 335,37.55960953,127.0805419
사이버리아PC방,오락,게임룸,중랑구,서울특별시 중랑구 사가정로 325,37.58155182,127.0807703
야후PC게임방,오락,게임룸,광진구,서울특별시 광진구 긴고랑로 43,37.56290324,127.0811692
넷게이트PC방,오락,게임룸,광진구,서울특별시 광진구 긴고랑로 48,37.56240055,127.0814131
스카이인터넷PC,오락,게임룸,광진구,서울특별시 광진구 천호대로 574,37.55600389,127.0815143
용비어천가PC방,오락,게임룸,광진구,서울특별시 광진구 긴고랑로 50,37.56232131,127.0816518
인터칸PC방,오락,게임룸,광진구,서울특별시 광진구 긴고랑로 52,37.56224208,127.0818905
이모티콘PC방,오락,게임룸,중랑구,서울특별시 중랑구 사가정로 345,37.58133395,127.0828788
아지트PC방,오락,게임룸,중랑구,서울특별시 중랑구 사가정로39길 79,37.58464136,127.0829515
길드마스터PC방,오락,게임룸,광진구,서울특별시 광진구 긴고랑로15길 11,37.56257619,127.0831428
테라인터넷PC방,오락,게임룸,광진구,서울특별시 광진구 면목로 184,37.56956898,127.0832269
뽕뽕게임랜드,오락,게임룸,송파구,서울특별시 송파구 백제고분로7길 46,37.51064512,127.0838689
코아게임장,오락,게임룸,광진구,서울특별시 광진구 아차산로 380,37.53661319,127.0849883
K2PC방,오락,게임룸,중랑구,서울특별시 중랑구 사가정로 363-1,37.5811883,127.0850091
황금성,오락,게임룸,광진구,서울특별시 광진구 아차산로 384,37.53666175,127.0854403
고품격뉴욕전화방,오락,게임룸,송파구,서울특별시 송파구 석촌호수로 60,37.51090126,127.0855285
스카이존PC방,오락,게임룸,중랑구,서울특별시 중랑구 면목로 260,37.57591576,127.0859907
구문룡PC클럽,오락,게임룸,중랑구,서울특별시 중랑구 사가정로 373,37.58107137,127.0861994
두리넷PC,오락,게임룸,광진구,서울특별시 광진구 용마산로 103,37.56290997,127.0866816
스마일PC인터넷,오락,게임룸,광진구,서울특별시 광진구 긴고랑로30길 10,37.55930603,127.0867142
인터칸PC방,오락,게임룸,광진구,서울특별시 광진구 긴고랑로 106,37.55955987,127.0869149
인터우드멀티PC방,오락,게임룸,광진구,서울특별시 광진구 용마산로 31,37.55641393,127.0879153
오즈pc방,오락,게임룸,중랑구,서울특별시 중랑구 면목로 341,37.58216758,127.0881334
스페이스PC방,오락,게임룸,중랑구,서울특별시 중랑구 면목로 318,37.58022369,127.0884401
인터넷PC게임방,오락,게임룸,중랑구,서울특별시 중랑구 면목로48길 9,37.58229275,127.0891735
한일성인게임장,오락,게임룸,중랑구,서울특별시 중랑구 봉우재로33길 92,37.59570804,127.0901763
클릭PC방,오락,게임룸,광진구,서울특별시 광진구 자양로43길 42,37.55254079,127.0904297
유토피아PC방,오락,게임룸,중랑구,서울특별시 중랑구 면목로48길 33,37.58237565,127.0905764
SPEEDPC방,오락,게임룸,중랑구,서울특별시 중랑구 사가정로 415,37.58061185,127.0908696
밀레니엄PC방,오락,게임룸,광진구,서울특별시 광진구 자양로 294-1,37.55184417,127.0924075
테라인터넷PC방,오락,게임룸,중랑구,서울특별시 중랑구 용마산로 310,37.57972474,127.0926805
짱PC방,오락,게임룸,중랑구,서울특별시 중랑구 면목로48길 80,37.58182686,127.0930286
매직스페이스PC방,오락,게임룸,광진구,서울특별시 광진구 영화사로 64,37.55484987,127.093084
황금성,오락,게임룸,중랑구,서울특별시 중랑구 용마산로115길 109,37.59744152,127.0941414
노래방오락실,오락,게임룸,광진구,서울특별시 광진구 강변역로 50,37.53453044,127.0941674
봉게임장,오락,게임룸,중랑구,서울특별시 중랑구 용마산로115길 84,37.5982732,127.0956715
인터넷휴게텔,오락,게임룸,중랑구,서울특별시 중랑구 용마산로115길 68,37.59846873,127.0964958
골뱅이피씨게임방,오락,게임룸,중랑구,서울특별시 중랑구 용마산로94길 14,37.58900638,127.0974934
PCroom,오락,게임룸,강남구,서울특별시 강남구 광평로56길 8-13,37.48675286,127.1031575
라이프존,오락,게임룸,송파구,서울특별시 송파구 가락로 64,37.49970302,127.1034098
Y2KPC방,오락,게임룸,광진구,서울특별시 광진구 광장로 80,37.54769468,127.1059701
인터우드,오락,게임룸,송파구,서울특별시 송파구 올림픽로32길 56,37.51220417,127.112219
인터캐슬,오락,게임룸,송파구,서울특별시 송파구 토성로 26,37.5304306,127.1131571
라이프존,오락,게임룸,송파구,서울특별시 송파구 오금로 177,37.50943501,127.1142312
황금성,오락,게임룸,송파구,서울특별시 송파구 송파대로30길 8,37.49423821,127.1183914
고웨이,오락,게임룸,송파구,서울특별시 송파구 가락로 267,37.51189476,127.1190321
렛츠고인터넷PC랜드,오락,게임룸,송파구,서울특별시 송파구 송이로 102-1,37.49698967,127.1212429
로얄게임랜드,오락,게임룸,강동구,서울특별시 강동구 올림픽로 663,37.54072833,127.1238417
인터넷클럽,오락,게임룸,송파구,서울특별시 송파구 중대로16길 12,37.49597784,127.1257445
게임랜드,오락,게임룸,강동구,서울특별시 강동구 구천면로 201,37.54098839,127.1273239
길드멀티PC방,오락,게임룸,강동구,서울특별시 강동구 구천면로 201,37.54098839,127.1273239
동아게임랜드,오락,게임룸,강동구,서울특별시 강동구 구천면로 212,37.54037298,127.1281798
마이넷PC방,오락,게임룸,강동구,서울특별시 강동구 올림픽로 804,37.55271254,127.1287378
황금포커성,오락,게임룸,강동구,서울특별시 강동구 천호대로175길 10,37.53512095,127.1369195
손오공게임랜드,오락,게임룸,강동구,서울특별시 강동구 천호대로175길 10,37.53512095,127.1369195
호박PC방,오락,게임룸,송파구,서울특별시 송파구 성내천로21길 11,37.49994315,127.1442913
선광게임장,오락,게임룸,강동구,서울특별시 강동구 양재대로136길 18,37.54846813,127.1446988
새우주게임랜드,오락,게임룸,강동구,서울특별시 강동구 상암로 201,37.54665003,127.1449799
사이버리아PC방,오락,게임룸,송파구,서울특별시 송파구 거마로 63,37.49866193,127.1465452
아미고PC방,오락,게임룸,송파구,서울특별시 송파구 오금로 527,37.49305391,127.1473215
사이버리아PC방,오락,게임룸,송파구,서울특별시 송파구 오금로 533,37.49307739,127.1480789
바이넷PC방,오락,게임룸,송파구,서울특별시 송파구 마천로 335,37.49366529,127.1521433
메인포스트PC방,오락,게임룸,송파구,서울특별시 송파구 마천로 349,37.49279806,127.1530918
아산키즈소아청소년과,병원,기타병원,성북구,서울특별시 성북구 종암로 122,37.60118133,127.0339835
키즈위즈소아청소년과,병원,기타병원,송파구,서울특별시 송파구 올림픽로 435,37.52134911,127.1049496
서서울탁구장,실내스포츠,기타실내운동시설,구로구,서울특별시 구로구 오리로 1297,37.49721202,126.8290583
궁동탁구클럽,실내스포츠,기타실내운동시설,구로구,서울특별시 구로구 오리로 1290,37.49666964,126.8297906
롤리폴리,실내스포츠,기타실내운동시설,강서구,서울특별시 강서구 곰달래로 142,37.53051838,126.8487107
으뜸탁구교실,실내스포츠,기타실내운동시설,강서구,서울특별시 강서구 등촌로 23,37.5319767,126.8634533
곰달래탁구교실,실내스포츠,기타실내운동시설,양천구,서울특별시 양천구 목동중앙서로 27,37.53291934,126.8668447
사라예보,실내스포츠,기타실내운동시설,양천구,서울특별시 양천구 목동동로 345,37.53291578,126.8768466
서울특별시구로구시설관리공단,실내스포츠,기타실내운동시설,구로구,서울특별시 구로구 경인로67길 149,37.5136945,126.8832769
라라탁구클럽,실내스포츠,기타실내운동시설,금천구,서울특별시 금천구 금하로1마길 13,37.45290435,126.8903412
위너스베이스볼클럽,실내스포츠,기타실내운동시설,은평구,서울특별시 은평구 수색로 307,37.58421575,126.890614
가산탁구교실,실내스포츠,기타실내운동시설,금천구,서울특별시 금천구 남부순환로112길 62,37.47710957,126.8925837
매드짐인공암벽장,실내스포츠,기타실내운동시설,금천구,서울특별시 금천구 범안로15길 8,37.46697131,126.8933889
매드짐실내인공암벽장,실내스포츠,기타실내운동시설,금천구,서울특별시 금천구 범안로15길 8,37.46697131,126.8933889
팡팡탁구클럽,실내스포츠,기타실내운동시설,영등포구,서울특별시 영등포구 국회대로 549,37.52868826,126.8957814
요가바이현,실내스포츠,기타실내운동시설,구로구,서울특별시 구로구 디지털로32길 97-39,37.48424582,126.901264
리앤리댄스스포츠,실내스포츠,기타실내운동시설,금천구,서울특별시 금천구 남부순환로 1394,37.4799162,126.9056238
한성탁구장,실내스포츠,기타실내운동시설,금천구,서울특별시 금천구 독산로 56,37.45233205,126.9062745
신길탁구장,실내스포츠,기타실내운동시설,영등포구,서울특별시 영등포구 가마산로69가길 12,37.50614647,126.9096068
나무요가,실내스포츠,기타실내운동시설,영등포구,서울특별시 영등포구 국회대로66길 23,37.52810876,126.9198316
파워탁구장,실내스포츠,기타실내운동시설,서대문구,서울특별시 서대문구 명지대길 68-2,37.58299793,126.9235451
스크린파크,실내스포츠,기타실내운동시설,동작구,서울특별시 동작구 보라매로5가길 16,37.49132182,126.924082
타워개발여의도자이생활지원센터,실내스포츠,기타실내운동시설,영등포구,서울특별시 영등포구 여의동로3길 10,37.51822572,126.925913
HON,실내스포츠,기타실내운동시설,영등포구,서울특별시 영등포구 국제금융로 72,37.52109088,126.9308608
한국청소년생활체육협회,실내스포츠,기타실내운동시설,은평구,서울특별시 은평구 불광로 51,37.61277212,126.9309314
신촌탁구장,실내스포츠,기타실내운동시설,마포구,서울특별시 마포구 신촌로 118-1,37.55547491,126.9388808
